CAL_DT,MODEL_NAME,BRAND_FULL_NAME,BRAND_NAME,VENDOR_NAME,OS_NAME,DEVICE_TYPE,_2G_FLG,_3G_FLG,_4G_FLG,WIFI_FLG,BLUETOOTH_FLG,TOUCH_SCREEN_FLG,DUAL_SIM_FLG,GENDER_TYPE_CD,AGE_B,NATIONALITY_CD,NATIONALITY_NAME,SAUDI_NON_SAUDI,DEVICE_COUNT,DEVICE_COUNT_processed,Z_FLAG_COUNT
3/31/2019,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,SAU,Saudi Arabia,Saudi,20,3.0,1
3/31/2020,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,BGD,Bangladesh,Non-Saudi,1,1.0,1
9/30/2019,6085h,nokia 6085h,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,SYR,Syria,Non-Saudi,1,1.0,1
8/31/2019,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,IND,India,Non-Saudi,8,8.0,1
9/30/2019,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,IDN,Indonesia,Non-Saudi,5,5.0,1
9/30/2019,6131,nokia 6131,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,SYR,Syria,Non-Saudi,2,2.0,1
4/30/2019,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,IND,India,Non-Saudi,2,2.0,1
4/30/2019,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,PAK,Pakistan,Non-Saudi,1,1.0,1
9/30/2020,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,PAK,Pakistan,Non-Saudi,2,2.0,1
6/30/2020,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,DJI,Djibouti,Non-Saudi,1,1.0,1
6/30/2019,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IDN,Indonesia,Non-Saudi,1,1.0,1
8/31/2019,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,TUR,Turkey,Non-Saudi,3,3.0,1
6/30/2019,7610 supernova,nokia 7610 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,18-25,NGA,Nigerian,Non-Saudi,1,1.0,1
11/30/2018,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,JOR,Jordan,Non-Saudi,1,1.0,1
8/31/2019,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IRQ,Iraq,Non-Saudi,1,1.0,1
5/31/2020,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IND,India,Non-Saudi,1,1.0,1
3/31/2020,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,IND,India,Non-Saudi,4,4.0,1
3/31/2019,7070 prism,nokia 7070 prism,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,EGY,Egypt,Non-Saudi,1,1.0,1
11/30/2019,6131,nokia 6131,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,YEM,Yemen,Non-Saudi,2,2.0,1
,6131,nokia 6131,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,<18,SAU,Saudi Arabia,Saudi,1,1.0,1
7/31/2020,5000,nokia 5000,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,SAU,Saudi Arabia,Saudi,7,7.0,1
2/28/2019,3500 classic,nokia 3500 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,EGY,Egypt,Non-Saudi,3,3.0,1
2/29/2020,6131,nokia 6131,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,IND,India,Non-Saudi,2,2.0,1
2/28/2019,6085h,nokia 6085h,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,BGD,Bangladesh,Non-Saudi,2,2.0,1
,7020,nokia 7020,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,36-55,BGD,Bangladesh,Non-Saudi,4,4.0,1
9/30/2019,2660,nokia 2660,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,SAU,Saudi Arabia,Saudi,57,9.166666666666666,1
12/31/2019,2710 navigation edition,nokia 2710 navigation edition,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,IRN,Iraq,Non-Saudi,1,1.0,1
5/31/2020,6131,nokia 6131,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,26-35,SAU,Saudi Arabia,Saudi,22,3.3333333333333335,1
7/31/2019,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,YEM,Yemen,Non-Saudi,9,9.0,1
2/28/2019,3109 classic,nokia 3109 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,18-25,SYR,Syria,Non-Saudi,1,1.0,1
6/30/2019,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,SOM,Somalia,Non-Saudi,2,2.0,1
11/30/2019,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,YEM,Yemen,Non-Saudi,4,4.0,1
5/31/2020,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,DJI,Djibouti,Non-Saudi,1,1.0,1
8/31/2020,2323 classic,nokia 2323 classic,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,,,,,3,3.0,1
6/30/2019,7310 supernova,nokia 7310 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,PSE,Palestine,Non-Saudi,1,1.0,1
11/30/2018,7100 supernova,nokia 7100 supernova,nokia,nokia,proprietary,mobile phone,Y,N,N,Z,Y,N,N,Male,>55,EGY,Egypt,Non-Saudi,,,1
